X,Y,OBJECTID,vrsta,naziv,lokacija,broj_stalaka,broj_bicikala,godina_postavljanja,MJESNI_ODBOR,GRADSKA_CETVRT
15.976541707,45.8096892950001,46,stalci,Gajeva 27 - Zg Forum,Gajeva ulica 27,3,6,2017,Cvjetni trg,DONJI GRAD
15.99051509,45.808030123,47,stalci,Kneza Višeslava,Kneza Višeslava (jugozapadna strana parka),3,6,2016,"""Petar Krešimir IV.""",DONJI GRAD
15.9918572,45.8084928650001,48,stalci,Trg Petra Krešimira IV.,Trg Petra Krešimira IV.,5,10,2019,"""Petar Krešimir IV.""",DONJI GRAD
15.998196937,45.81133514,49,stalci,Zvonimirova 63 - Luda Kuća,Ulica Kralja Zvonimira,5,10,2018,"""Kralj Zvonimir""",DONJI GRAD
15.9867398810001,45.8057366890001,50,stalci,Branimirova 37,Branimirova 37,3,6,2016,"""Knez Mislav""",DONJI GRAD
15.9957175700001,45.812752016,51,stalci,Šubićeva - Martićeva,Šubićeva - Martićeva,18,36,2020,"""Pavao Šubić""",DONJI GRAD
15.986741222,45.8123005260001,52,stalci,Martićeva 21,Martićeva 21,2,4,2018,"""Hrvatski narodni vladari""",DONJI GRAD
15.9910957880001,45.8137683210001,53,stalci,"Gradska ljekarna, Vlaška 84",Ulica Koste Vojnovića - Vlaška,3,6,2016,"""Matko Laginja""",DONJI GRAD
15.9880739450001,45.810134868,54,stalci,Trg žrtava fašizma 7,Trg žrtava fašizma 7,3,6,2019,"""Hrvatski narodni vladari""",DONJI GRAD
15.9888196000001,45.813882359,55,stalci,Vlaška 81,Vlaška 81,2,4,2020,"""Nadbiskup Antun Bauer""",DONJI GRAD
15.988305301,45.813559265,56,stalci,Vlaška 72,Vlaška 72,5,10,2016,"""Nadbiskup Antun Bauer""",DONJI GRAD
15.9994337700001,45.8124234480001,57,stalci,Heinzelova 20,Heinzelova 20,2,4,2018,"""Eugen Kvaternik""",MAKSIMIR
15.9990860890001,45.81267817,58,stalci,Heinzelova 16,Heinzelova 16,4,8,2018,"""Eugen Kvaternik""",MAKSIMIR
15.9987125920001,45.8130303390001,59,stalci,Heinzelova 10,Heinzelova 10,2,4,2018,"""Eugen Kvaternik""",MAKSIMIR
15.993549004,45.8140571550001,60,stalci,Vlaška 107,Vlaška 107,3,6,2018,"""Pavao Šubić""",DONJI GRAD
15.8747933440001,45.815677517,61,stalci,"Gradska ljekarna, Ulica hrvatskih iseljenika 1",Ulica hrvatskih iseljenika 1,4,8,2016,Gajnice,PODSUSED - VRAPČE
15.9980373450001,45.8136547510001,62,stalci,Heinzelova 6a,Heinzelova 6a,2,4,2018,"""Eugen Kvaternik""",MAKSIMIR
15.997903235,45.8137907560001,63,stalci,Heinzelova 6,Heinzelova 6,2,4,2018,"""Eugen Kvaternik""",MAKSIMIR
15.9976594890001,45.8139851810001,64,stalci,Heinzelova 4a,Heinzelova 4a,2,4,2018,"""Eugen Kvaternik""",MAKSIMIR
15.966099948,45.7994476630001,65,stalci,Grada Vukovara 56 a,Grada Vukovara 56 a,8,16,2016,Martinovka,TRNJE
15.96705601,45.7994863100001,66,stalci,Grada Vukovara 56,Grada Vukovara 56,8,16,2016,Martinovka,TRNJE
15.98040618,45.7999768600001,67,stalci,Vukovarska 84,Vukovarska 84,5,10,2019,Trnje,TRNJE
15.980396458,45.8000500210001,68,stalci,Vukovarska 84,Vukovarska 84,7,14,2019,Trnje,TRNJE
15.9870666,45.8000975890001,69,stalci,Ulica grada Vuovara 222,Ulica grada Vuovara 222,4,8,2018,"""Marin Držić""",TRNJE
15.987894908,45.8001451540001,70,stalci,Mr. Bean,Ulica grada Vukovara 226,4,8,2018,"""Marin Držić""",TRNJE
15.9874872120001,45.8001173390001,71,stalci,Ulica grada Vukovara 224,Ulica grada Vukovara 224,2,4,2018,"""Marin Držić""",TRNJE
15.9755963750001,45.8010997060001,72,stalci,Trg Stjepana Radića 1/istok,Trg Stjepana Radića 1/istok,11,22,2015,Martinovka,TRNJE
15.975590461,45.801225747,73,stalci,Trg Stjepana Radića 1/istok,Trg Stjepana Radića 1/istok,4,8,2018,Martinovka,TRNJE
15.9775588210001,45.801080782,74,stalci,Trg Stjepana Radića 1/istok,Trg Stjepana Radića 1/istok,9,18,2014,Martinovka,TRNJE
16.009425671,45.8024465330001,75,stalci,Vukovarska 271,Vukovarska 271,10,20,2019,Kanal,TRNJE
16.0003530980001,45.8015992460001,76,stalci,Vukovarska 269B,Vukovarska 269B,10,20,2019,Kanal,TRNJE
16.0008593650001,45.7787047670001,77,stalci,ZET Zapruđe,Balokovićeva 77,4,8,2020,Zapruđe,NOVI ZAGREB - ISTOK
15.982022882,45.7783388180001,78,stalci,MSU,Avenija Dubrovnik 17,10,20,2016,Središće,NOVI ZAGREB - ISTOK
16.0368210820001,45.825123089,79,stalci,Okretište autobusa Dubrava,Okretište autobusa Dubrava,6,12,2015,Dubrava - središte,GORNJA DUBRAVA
16.036766432,45.824382687,80,stalci,Okretište Dubrava,Okretiste tramvaja Dubrava(pored ZETa),6,12,2015,Dubrava - središte,GORNJA DUBRAVA
15.9932715960001,45.8044129990001,81,stalci,Autobusni kolodvor,Avenija Marina Držića,6,12,2017,Kanal,TRNJE
16.031566635,45.838554684,82,stalci,Policijska akademija,Avenija Gojka Šuška 1,3,6,2015,Dotrščina,MAKSIMIR
16.0047026350001,45.816812687,83,stalci,Maksimirska 58A,Maksimirska 58A,5,10,2020,Ružmarinka,MAKSIMIR
15.9879119300001,45.802637034,84,stalci,Strojarska cesta 17 - Gredelj,Strojarska cesta 17,16,32,2018,Martinovka,TRNJE
15.992734662,45.7775050450001,85,stalci,I. gimnazija,Avenija Dubrovnik 36,20,40,2019,Utrine,NOVI ZAGREB - ISTOK
15.892280785,45.7938432870001,86,stalci,Okretište tramvaja Prečko,Ulica Savska Opatovina,3,6,2016,Prečko,TREŠNJEVKA - JUG
15.8992215220001,45.794655607,87,stalci,"Ul. Slavenskog, Autobusni kolodvor",Ul. Slavenskog,3,6,2016,Prečko,TREŠNJEVKA - JUG
15.9134095640001,45.791233919,88,stalci,Point centar,Rudeška cesta,6,12,2015,Vrbani,TREŠNJEVKA - JUG
15.9129885200001,45.790876177,89,stalci,Point centar,Rudeška cesta,6,12,2015,Vrbani,TREŠNJEVKA - JUG
15.980708028,45.800861125,90,stalci,KDVL,Trg Stjepana Radića 4,8,16,2016,Martinovka,TRNJE
15.9806753500001,45.8012129260001,91,stalci,KDVL,Trg Stjepana Radića 4,13,26,2016,Martinovka,TRNJE
15.9797210240001,45.8013946400001,92,stalci,KDVL,Trg Stjepana Radića 4,5,10,2016,Martinovka,TRNJE
15.978547409,45.7963034690001,93,stalci,NSK 2,Hrvatske Bratske Zajednice 4,2,4,2020,Miramare,TRNJE
